,,Entidade Empresa Estatal,20.824,19.911,-913,"-4,4%"
,,Entidade Empresa Privada,3.655.166,3.769.616,114.450,"3,1%"
,,Entidades sem Fins Lucrativos,248.001,247.032,-969,"-0,4%"
,,Pessoa Física e outras Organizações Legais,128.684,116.519,-12.165,"-9,5%"
,Tamanho do Estabelecimento,,,,,
,Quantidade de Estabelecimentos com Vínculo,0 Empregado,518.590,524.541,5.951,"1,1%"
,,De 1 a 4,2.517.620,2.586.377,68.757,"2,7%"
,,De 5 a 9,688.957,701.822,12.865,"1,9%"
,,De 10 a 19,385.006,395.871,10.865,"2,8%"
,,De 20 a 49,213.985,222.080,8.095,"3,8%"
,,De 50 a 99,65.355,68.567,3.212,"4,9%"
,,De 100 a 249,35.874,37.657,1.783,"5,0%"
,,De 250 a 499,12.623,13.130,507,"4,0%"
,,De 500 a 999,6.144,6.392,248,"4,0%"
,,1000 ou Mais,4.765,5.119,354,"7,4%"
,,,,,,
,Fonte: RAIS / MTE ,,,,,
