,,Atividades Administrativas e Serviços Complementares,"4,645,453","4,862,141","216,688",4.66
,,"Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais","13,198,295","13,686,205","487,910",3.70
,,"Administração Pública, Defesa e Seguridade Social","8,677,551","8,991,082","313,531",3.61
,,Educação,"1,962,750","1,976,724","13,974",0.71
,,Saúde Humana e Serviços Sociais,"2,557,994","2,718,399","160,405",6.27
,,Serviços domésticos,"1,882","1,397",-485,-25.77
,,Outros serviços,"1,197,064","1,245,846","48,782",4.08
,,"Artes, Cultura, Esporte e Recreação","222,221","229,693","7,472",3.36
,,Outras Atividades de Serviços,"972,011","1,013,360","41,349",4.25
,,Organismos Internacionais e Outras Instituições Extraterritoriais,"2,832","2,793",-39,-1.38
,Natureza Jurídica,,,,,
,Estoque,Setor Público Federal,"1,020,078","815,721","-204,357",-20.03
,,Setor Público Estadual,"3,038,029","2,949,962","-88,067",-2.90
,,Setor Público Municipal,"5,178,516","5,779,372","600,856",11.60
,,Setor Público - Outros,"18,205","18,733",528,2.90
,,Entidade Empresa Estatal,"750,137","731,719","-18,418",-2.46
,,Entidade Empresa Privada,"32,018,958","34,112,002","2,093,044",6.54
,,Entidades sem Fins Lucrativos,"3,179,380","3,267,641","88,261",2.78
,,Pessoa Física e outras Organizações Legais,"1,032,873","1,053,721","20,848",2.02
,Tamanho do Estabelecimento,,,,,
,Estoque,De 1 a 4 empregados,"4,081,102","4,206,337","125,235",3.07
,,De 5 a 9​ empregados,"3,918,598","4,099,383","180,785",4.61
,,De 10 a 19​ empregados,"4,391,738","4,675,859","284,121",6.47
,,De 20 a 49​ empregados,"5,453,419","5,788,739","335,320",6.15
,,De 50 a 99​ empregados,"3,812,586","4,052,407","239,821",6.29
,,De 100 a 249​ empregados,"4,888,933","5,115,685","226,752",4.64
,,De 250 a 499​ empregados,"3,908,678","4,128,333","219,655",5.62
,,De 500 a 999​ empregados,"3,840,099","4,102,336","262,237",6.83
,,1000 ou mais​ empregados,"11,941,023","12,559,792","618,769",5.18
,,,,,,
,Fonte: RAIS / STRAB-MTP,,,,,
