,,Entidade Empresa Estatal,731.267,718.265,-13.002,"-1,8%"
,,Entidade Empresa Privada,36.934.241,38.266.105,1.331.864,"3,6%"
,,Entidades sem Fins Lucrativos,3.551.726,3.703.881,152.155,"4,3%"
,,Pessoa Física e outras Organizações Legais,430.655,413.024,-17.631,"-4,1%"
,Tamanho do Estabelecimento,,,,,
,Estoque,De 1 a 4 empregados,4.747.386,4.870.776,123.390,"2,6%"
,,De 5 a 9​ empregados,4.494.655,4.580.650,85.995,"1,9%"
,,De 10 a 19​ empregados,5.166.304,5.312.160,145.856,"2,8%"
,,De 20 a 49​ empregados,6.385.257,6.636.213,250.956,"3,9%"
,,De 50 a 99​ empregados,4.493.390,4.714.446,221.056,"4,9%"
,,De 100 a 249​ empregados,5.492.785,5.750.976,258.191,"4,7%"
,,De 250 a 499​ empregados,4.360.688,4.547.248,186.560,"4,3%"
,,De 500 a 999​ empregados,4.300.250,4.486.976,186.726,"4,3%"
,,1000 ou mais​ empregados,13.350.149,13.806.940,456.791,"3,4%"
,,,,,,
,Fonte: RAIS / MTE ,,,,,
,Obs: Não estão contidos valores com classificação não identificada.,,,,,
